,노트북 이름,가격,노트북유형,운영체제,화면정보,CPU,램,그래픽,저장장치,네트워크,영상입출력,단자,부가기능,입력장치,파워,주요제원,리퍼비시
595,레노버 요가 Slim7 Pro 14IAP7 82SV005GKR,"1,479,030",노트북,윈도우11홈,35.56cm(14인치)/2880x1800(WQXGA+)/600nit/주사율:90Hz/,인텔/코어i7-12세대/i7-1260P (2.1GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 /,얼굴 인식/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/,배터리:61Wh/충전단자:타입C/,두께:14.9mm/무게:1.39kg/ 색상: 그레이,
596,한성컴퓨터 올데이롱 TFX6270HW,"1,420,000",노트북,윈도우11홈,40.64cm(16인치)/2560x1600(WQXGA)/300nit/주사율:90Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/,HDMI 2.0/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:82.04Wh/어댑터:90W/충전단자:DC/,두께:19mm/무게:1.46kg/ 쿨링팬: 2개 / 색상: 블랙,
597,MSI GF시리즈 Sword GF66 A12UE 블랙 WIN10 32GB램,"1,813,260",노트북,윈도우10,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:240W/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 색상: 블랙,
598,레노버 씽크패드 X13 Yoga 20W8000XKR,"1,499,000",2 in 1,윈도우10 프로,33.78cm(13.3인치)/1920x1200(WUXGA)/300nit/,인텔/코어i5-11세대/i5-1135G7 (2.4GHz)/쿼드(4)코어/,LPDDR4x(온보드) /램 용량:8GB/4266MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/저장 슬롯:1개/,무선랜:802.11ax(Wi-Fi 6)/,HDMI 2.0/웹캠(HD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 /,지문 인식/TPM/ 웹캠OFF 지원 /고속충전/전용 펜 지원/ 전용 펜 포함 /USB-PD/,키보드 라이트/침수지연키보드/ㅗ형 방향키/,배터리:52.8Wh/충전단자:타입C/,두께:15.39mm/무게:1.25kg/ 색상: 블랙,
599,MSI Stealth 17 Studio A13VF-i9 4K WIN11 32GB램,"2,870,000",노트북,윈도우11(설치),43.9cm(17.3인치)/3840x2160(4K UHD)/500nit/주사율:120Hz/,인텔/코어i9-13세대/i9-13900H (2.6GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:105W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/지문 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:240W/충전단자:전용포트/,두께:20.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
600,MSI 크리에이터 Z16 HX Studio B13VFTO-i9 32GB램,"3,320,000",노트북,미포함(프리도스),40.6cm(16인치)/2560x1600(WQXGA)/400nit/주사율:120Hz/,인텔/코어i9-13세대/i9-13950HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:32GB/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:90W/VRAM:8GB/,M.2(NVMe)/1TB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-A: 1개 / SD카드 /,얼굴 인식/지문 인식/TPM/USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:90Wh/어댑터:280W/충전단자:전용포트/,두께:18.4mm/무게:2.35kg/ 쿨링팬: 2개 / 색상: 그레이,
601,MSI Stealth 15M B12UE WIN11,"1,632,780",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-1280P (1.8GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:75W/VRAM:6GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/,HDMI/웹캠(HD)/,USB-C: 2개 / USB-A: 2개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:53.8Wh/어댑터:180W/충전단자:DC/,두께:17mm/무게:1.8kg/ 색상: 블랙,
602,MSI GE시리즈 레이더 GE76 12UGS QHD WIN11,"3,119,780",노트북,윈도우11(설치),43.9cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 3개 / SD카드 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:99.9Wh/어댑터:280W/충전단자:DC/,두께:25.9mm/무게:2.9kg/ 색상: 블루,
603,MSI GF시리즈 Sword GF66 A12UE 블랙 WIN10 64GB램,"1,911,310",노트북,윈도우10,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:64GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:240W/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 색상: 블랙,
604,MSI Stealth 17 Studio A13VH QHD WIN11 64GB램,"4,004,400",노트북,윈도우11(설치),43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,인텔/코어i7-13세대/i7-13700H (2.4GHz)/ 14코어(6P+8E) /,DDR5/램 용량:64GB/ 램 교체: 가능 /,외장그래픽 /RTX4080/TGP:105W/VRAM:12GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/지문 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:240W/충전단자:전용포트/,두께:20.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
