,노트북 이름,가격,노트북유형,운영체제,화면정보,CPU,램,그래픽,저장장치,네트워크,영상입출력,단자,부가기능,입력장치,파워,주요제원,리퍼비시
35,MSI GF시리즈 Sword GF66 A12UC-i5 블랙 WIN11 16GB램,"979,910",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i5-12세대/i5-12450H (2.0GHz)/옥타코어(4P+4E)/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:180W/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 색상: 블랙,
36,MSI GF시리즈 Sword GF76 B13VFK WIN11 32GB램,"1,617,070",노트북,윈도우11(설치),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/,DDR5/램 용량:32GB/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:105W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
37,APPLE 2022 맥북에어 MLY33KH/A,"1,434,060",노트북,macOS Monterey,34.5cm(13.6인치)/2560x1664/500nit/,애플(ARM) /실리콘 M2/옥타코어(4+4)/,램 용량:8GB/ 램 교체: 불가능 /,내장그래픽 /M2 8 core/,SSD/256GB/,무선랜:802.11ax(Wi-Fi 6)/,웹캠(FHD)/,썬더볼트3:2개(USB-C겸용)/,지문 인식/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:52.6Wh/어댑터:30W/충전단자:MagSafe 3/,두께:11.3mm/무게:1.24kg/ 쿨링팬:없음(팬리스)/ 색상: 미드나이트 / 16코어 Neural Engine / 100GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이,
38,MSI GF시리즈 Sword GF76 B12VEK 32GB램,"1,347,570",노트북,미포함(프리도스),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
39,레노버 요가 Slim7 ProX 14ARH7 82TL003SKR,"1,690,000",노트북,미포함(프리도스),36.8cm(14.5인치)/3072x1920/400nit/주사율:120Hz/,AMD/라이젠7-5세대/6800HS (3.2GHz)/옥타(8)코어/,LPDDR5(온보드)/램 용량:32GB/6400MHz/ 램 교체: 불가능 /,외장그래픽 /RTX3050/VRAM:4GB/,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,웹캠(FHD)/,USB-C: 2개 / USB-A: 2개 /,얼굴 인식/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/,배터리:70Wh/충전단자:타입C/,두께:15.9mm/무게:1.45kg/ 쿨링팬: 2개 / 색상: 그레이,
40,삼성전자 갤럭시북2 프로 NT930XEW-A51A,"1,197,000",노트북,미포함(프리도스),33.7cm(13.3인치)/1920x1080(FHD)/,인텔/코어i5-12세대/i5-1240P (1.7GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 1개 / MicroSD카드 /,지문 인식/TPM/USB-PD/MIL-STD/,키보드 라이트/ㅗ형 방향키/,배터리:63Wh/어댑터:65W/충전단자:타입C/,두께:11.2mm/무게:870g/ 색상: 실버,
41,에이서 프레데터 Helios 18 PH18-71 4080,"3,790,000",노트북,미포함(프리도스),45.72cm(18인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4080/TGP:175W/VRAM:12GB/논 옵티머스/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 3개 / MicroSD카드 /,USB-PD/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:90Wh/어댑터:330W/충전단자:DC/,두께:29.15mm/무게:3.16kg/ 쿨링팬: 2개 / 색상: 블랙,
42,HP 오멘 16-n0094AX,"1,698,000",노트북,윈도우11홈,40.9cm(16.1인치)/2560x1440(QHD)/300nit/주사율:165Hz/,AMD/라이젠7-5세대/6800H (3.2GHz)/옥타(8)코어/,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/512GB/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,USB-C: 2개 / USB-A: 3개 / SD카드 /,고속충전/USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/표준 텐키리스/,배터리:83Wh/어댑터:280W/충전단자:DC/,두께:23mm/무게:2.35kg/ 쿨링팬: 2개 / 색상: 블랙,
43,MSI Stealth 17M A12UE,"1,288,000",노트북,미포함(프리도스),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-1280P (1.8GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:75W/VRAM:6GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:65Wh/어댑터:180W/충전단자:DC/,두께:21.55mm/무게:2.2kg/ 색상: 블랙,
44,LG전자 2023 그램16 16ZD90R-GX56K WIN11,"1,496,960",노트북,윈도우11(설치),40.6cm(16인치)/2560x1600(WQXGA)/350nit/,인텔/코어i5-13세대/i5-1340P (1.9GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,얼굴 인식/USB-PD/MIL-STD/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:80Wh/어댑터:65W/충전단자:타입C/,두께:16.8mm/무게:1.199kg/ 색상: 화이트,
45,MSI GF시리즈 Sword GF76 B12VEK WIN11 32GB램,"1,415,320",노트북,윈도우11(설치),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
46,ASUS 비보북 프로 15X OLED M6501RM-MA029,"1,548,990",노트북,미포함(프리도스),39.62cm(15.6인치)/2880x1620/600nit/주사율:120Hz/,AMD/라이젠7-5세대/6800H (3.2GHz)/옥타(8)코어/,DDR5/램 용량:16GB/ 램 교체: 가능(1슬롯) /,외장그래픽 /RTX3060/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(FHD)/,USB-C: 2개 / USB-A: 2개 / MicroSD카드 /,지문인식(전원버튼) / 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:76Wh/어댑터:240W/충전단자:DC/,두께:20.9mm/무게:2.1kg/ 쿨링팬: 2개 / 색상: 블랙,
47,MSI GF시리즈 Thin GF63 12VE-i5 16GB램,"1,062,150",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i5-12세대/i5-12450H (2.0GHz)/옥타코어(4P+4E)/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:52.4Wh/어댑터:120W/충전단자:DC/,두께:21.7mm/무게:1.77kg/ 색상: 블랙,
48,APPLE 2023 맥북프로14 MPHH3KH/A,"2,509,000",노트북,macOS Ventura,35.9cm(14.2인치)/3024x1964/1000nit/주사율:120Hz/,애플(ARM) / 실리콘 M2 Pro /10코어/,램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / M2 Pro 16core /,SSD/512GB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:3개(USB-C겸용)/ SD카드 /,지문 인식/고속충전/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:70Wh/어댑터:67W/충전단자:MagSafe 3/,두께:15.5mm/무게:1.6kg/ 색상: 실버 / 16코어 Neural Engine / 최대 200GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이,
49,MSI GP시리즈 Vector GP66 12UEO QHD OLED WIN11 32GB램,"1,358,880",노트북,윈도우11(설치),39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:65Wh/어댑터:240W/충전단자:DC/,두께:23.4mm/무게:2.38kg/ 쿨링팬: 2개 / 색상: 블랙,
50,MSI GP시리즈 Vector GP66 12UEO QHD OLED,"1,299,000",노트북,미포함(프리도스),39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:65Wh/어댑터:240W/충전단자:DC/,두께:23.4mm/무게:2.38kg/ 쿨링팬: 2개 / 색상: 블랙,
51,삼성전자 갤럭시북3 프로 NT960XFG-K71A,"2,082,790",노트북,윈도우11홈,40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,인텔/코어i7-13세대/i7-1360P (2.2GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 / MicroSD카드 /,지문인식(전원버튼) /TPM/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:76Wh/어댑터:65W/충전단자:타입C/,두께:12.5mm/무게:1.56kg/ 색상: 그라파이트,
52,HP 오멘 17-ck1037TX,"2,598,990",노트북,윈도우11홈,43.9cm(17.3인치)/2560x1440(QHD)/300nit/주사율:165Hz/,인텔/코어i7-12세대/ i7-12800HX (2.0GHz) / 16코어(8P+8E) /,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3080 Ti/VRAM:16GB/,M.2(NVMe)/1TB/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/mini DP/,썬더볼트4:1개(USB-C겸용)/ USB-A: 3개 / SD카드 /,DP Alt Mode/,기계식 키보드/RGB 라이트/ㅗ형 방향키/표준 텐키리스/,배터리:83Wh/어댑터:330W/충전단자:DC/,두께:27mm/무게:2.78kg/ 쿨링팬: 2개 / 색상: 블랙,
53,삼성전자 갤럭시북3 360 NT730QFG-KH51S,"1,673,160",2 in 1,윈도우11홈,33.7cm(13.3인치)/1920x1080(FHD)/,인텔/코어i5-13세대/i5-1340P (1.9GHz)/12코어(4P+8E)/,LPDDR4x(온보드) /램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 1개 / MicroSD카드 /,지문인식(전원버튼) /TPM/고속충전/전용 펜 지원/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:61.1Wh/어댑터:65W/충전단자:타입C/,두께:12.9mm/무게:1.16kg/ 색상: 실버,
54,APPLE 2023 맥북프로16 MNW83KH/A,"3,122,990",노트북,macOS Ventura,41.0cm(16.2인치)/3456x2234/1000nit/주사율:120Hz/,애플(ARM) / 실리콘 M2 Pro /12코어/,램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / M2 Pro 19core /,SSD/512GB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:3개(USB-C겸용)/ SD카드 /,지문 인식/고속충전/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:100Wh/어댑터:140W/충전단자:MagSafe 3/,두께:16.8mm/무게:2.15kg/ 색상: 그레이 / 16코어 Neural Engine / 최대 200GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이,
55,에이서 프레데터 Helios 16 PH16-71 4070,"2,590,000",노트북,미포함(프리도스),40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 3개 / MicroSD카드 /,USB-PD/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:90Wh/어댑터:330W/충전단자:DC/,두께:26.9mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
56,MSI GP시리즈 Vector GP68 HX 12VH-i9 QHD,"3,240,000",노트북,미포함(프리도스),40.6cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i9-12세대/ i9-12900HX (2.3GHz) / 16코어(8P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4080/TGP:165W/VRAM:12GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 2개 / USB-A: 2개 / SD카드 /,얼굴 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:90Wh/어댑터:330W/충전단자:전용포트/,두께:28.55mm/무게:2.67kg/ 쿨링팬: 2개 / 색상: 그레이,
57,LG전자 2022 울트라PC 15UD50Q-GX50K,"749,160",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/,인텔/코어i5-12세대/i5-1240P (1.7GHz)/12코어(4P+8E)/,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / UHD Graphics /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 / MicroSD카드 /,,ㅗ형 방향키/숫자 키패드(3열)/,배터리:49Wh/어댑터:65W/충전단자:DC/,두께:19.6mm/무게:1.8kg/ 색상: 화이트,
58,레노버 LEGION 5i Pro 16IAH I7 3060 32GB램,"1,759,000",노트북,미포함(프리도스),40.6cm(16인치)/2560x1600(WQXGA)/500nit/주사율:165Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 2개 / USB-A: 3개 /,웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:80Wh/충전단자:전용포트/,두께:19.9mm/무게:2.49kg/ 쿨링팬: 2개 / 색상: 그레이,
59,ASUS ROG STRIX G17 G713PV-LL053,"1,990,000",노트북,미포함(프리도스),43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,AMD/라이젠9(Zen4)/7845HX (3.0Hz)/12코어/,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,USB-C: 2개 / USB-A: 2개 /,TPM/고속충전/USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:90Wh/어댑터:280W/충전단자:DC/,두께:30.08mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 그레이,
60,Razer Blade 16 13Gen R4070 4K Dual,"4,890,000",노트북,윈도우11홈,40.8cm(16인치)/3840x2400(4K UHD)/1000nit/주사율:120Hz/,인텔/코어i9-13세대/i9-13950HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:32GB/5600MHz/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 3개 / SD카드 /,얼굴 인식/TPM/ 웹캠OFF 지원 /USB-PD/,RGB 라이트/ㅡ형 방향키/,배터리:95.2Wh/어댑터:280W/충전단자:전용포트/,"두께:21.99mm/무게:2.45kg/ 쿨링팬: 2개 / 색상: 블랙 / *특이사항: 해상도,주사율 변경 가능 (FHD/240Hz)",
61,MSI 프레스티지 15 A12UC,"1,490,000",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/300nit/,인텔/코어i7-12세대/i7-1280P (1.8GHz)/ 14코어(6P+8E) /,LPDDR4x(온보드) /램 용량:16GB/ 램 교체: 불가능 /,외장그래픽 /RTX3050/TGP:40W/VRAM:4GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(HD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,얼굴 인식/지문 인식/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:82Wh/어댑터:100W/충전단자:타입C/,두께:18.9mm/무게:1.69kg/ 쿨링팬: 2개 / 색상: 그레이,
62,한성컴퓨터 TFG5275,"1,158,000",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/300nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3050/TGP:75W/VRAM:4GB/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI 2.1/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:53.35Wh/어댑터:150W/충전단자:DC/,두께:26mm/무게:2kg/ 색상: 블랙,
63,에이서 스위프트 X 14.5 OLED Studio SFX14-71G 4050,"1,698,990",노트북,미포함(프리도스),36.8cm(14.5인치)/2880x1800(WQXGA+)/500nit/주사율:120Hz/,인텔/코어i7-13세대/i7-13700H (2.4GHz)/ 14코어(6P+8E) /,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,외장그래픽 /RTX4050/TGP:50W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,지문인식(전원버튼) /USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/,배터리:76Wh/어댑터:100W/충전단자:타입C/,두께:17.9mm/무게:1.55kg/ 쿨링팬: 1개 / 색상: 그레이,
64,MSI GP시리즈 Vector GP77 13VF QHD WIN11 64GB램,"2,365,720",노트북,윈도우11(설치),43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,인텔/코어i7-13세대/i7-13700H (2.4GHz)/ 14코어(6P+8E) /,DDR5/램 용량:64GB/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:65Wh/어댑터:240W/충전단자:전용포트/,두께:25.9mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
65,ASUS ROG SCAR G634JY-NM001W,"5,289,590",노트북,윈도우11홈,40.8cm(16인치)/2560x1600(WQXGA)/1100nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13980HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4090/TGP:175W/VRAM:16GB/MUX 스위치/,M.2(NVMe)/2TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /,HDMI 2.1/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 /,TPM/고속충전/USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:90Wh/어댑터:330W/충전단자:DC/,두께:30.4mm/무게:2.5kg/ 쿨링팬: 3개 / 색상: 블랙,
66,한성컴퓨터 올데이롱 TFX6270H,"1,275,000",노트북,미포함(프리도스),40.64cm(16인치)/2560x1600(WQXGA)/300nit/주사율:90Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/,HDMI 2.0/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:82.04Wh/어댑터:90W/충전단자:DC/,두께:19mm/무게:1.46kg/ 쿨링팬: 2개 / 색상: 블랙,
67,레노버 요가 Slim7 Pro 14IAP7 82SV0058KR,"1,289,000",노트북,미포함(프리도스),35.56cm(14인치)/2880x1800(WQXGA+)/400nit/주사율:90Hz/,인텔/코어i5-12세대/i5-1240P (1.7GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 /,얼굴 인식/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/,배터리:61Wh/충전단자:타입C/,두께:14.6mm/무게:1.32kg/ 색상: 그레이,
68,에이서 스위프트 GO 16 OLED SFG16-71-77FT,"1,398,990",노트북,윈도우11홈,40.8cm(16인치)/3200x2000(WQHD+)/500nit/주사율:120Hz/,인텔/코어i7-13세대/i7-13700H (2.4GHz)/ 14코어(6P+8E) /,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/ 웹캠(QHD) /,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,지문인식(전원버튼) /,키보드 라이트/ㅡ형 방향키/숫자 키패드(3열)/,배터리:65Wh/어댑터:100W/충전단자:타입C/,두께:14.9mm/무게:1.64kg/ 쿨링팬: 2개 / 색상: 그레이,
