id,제조사,이름,배터리,이미지,cpu,램 용량,램 상세,화면크기,화면상세,그래픽,저장용량,저장용량 상세,무게,가격
172,레노버,요가 7 16IAH7 82UF003DKR,59.00,https://img.danawa.com/prod_img/500000/456/990/img/17990456_1.jpg?shrink=130:130&_v=20230403092458,인텔 코어i5-12세대 i5-1240P (1.7GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,14,35.56cm(14인치)/2240x1400/300nit/,외장그래픽 /RTX3050 Ti/VRAM:4GB/,512,M.2(NVMe)/512GB/,1.40,1140000
173,한성컴퓨터,TFG5277XGW,99.99,https://img.danawa.com/prod_img/500000/549/552/img/17552549_1.jpg?shrink=130:130&_v=20220922093055,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,LPDDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,16,40.8cm(16인치)/2560x1600(WQXGA)/400nit/,외장그래픽 /Arc A370M/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,2.16,1789000
174,MSI,GP시리즈 Vector GP66 12UGSO QHD 32GB램,62.32,https://img.danawa.com/prod_img/500000/417/820/img/16820417_1.jpg?shrink=130:130&_v=20230410104308,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,1.70,1948000
175,레노버,씽크패드 T14s Gen3 21CQ0007KR,65.00,https://img.danawa.com/prod_img/500000/850/582/img/19582850_1.jpg?shrink=130:130&_v=20230331140547,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.38,1770000
176,MSI,모던시리즈 모던14 B4MW-R5 카본 그레이,57.00,https://img.danawa.com/prod_img/500000/903/627/img/17627903_1.jpg?shrink=130:130&_v=20230525092509,AMD 라이젠7 PRO-5세대  6850U (2.7GHz)  옥타(8)코어,16,LPDDR5(온보드)/램 용량:16GB/6400MHz/ 램 교체: 불가능 /,14,35.56cm(14인치)/1920x1200(WUXGA)/300nit/,내장그래픽 / Radeon 680M /,256,M.2(NVMe)/256GB/저장 슬롯:1개/,1.23,1599000
177,레노버,요가 Slim7 Carbon13ITL5 82EV0049KR,52.00,https://img.danawa.com/prod_img/500000/221/884/img/13884221_1.jpg?shrink=130:130&_v=20210819130905,AMD 라이젠5-3세대 4500U (2.3GHz) 헥사(6)코어,8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,14,35.56cm(14인치)/1920x1080(FHD)/300nit/,내장그래픽 / Radeon Graphics /,512,M.2(NVMe)/512GB/,1.30,549630
178,MSI,GP시리즈 GP76 Leopard 11UG,50.00,https://img.danawa.com/prod_img/500000/589/288/img/16288589_1.jpg?shrink=130:130&_v=20220126164654,인텔 코어i7-11세대 i7-1165G7 (2.8GHz) 쿼드(4)코어,16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,13,33.7cm(13인치)/2560x1600(WQXGA)/300nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/,0.97,1260000
179,MSI,GP시리즈 GP66 Leopard 11UH,65.00,https://img.danawa.com/prod_img/500000/650/412/img/14412650_1.jpg?shrink=130:130&_v=20221220163733,인텔 코어i7-11세대 i7-11800H (2.3GHz) 옥타(8)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/1920x1080(FHD)/300nit/주사율:144Hz/,외장그래픽 /RTX3070/TGP:140W/VRAM:8GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.90,2190000
180,HP,빅터스 16-d1206TX,65.00,https://img.danawa.com/prod_img/500000/733/158/img/14158733_1.jpg?shrink=130:130&_v=20220412103220,인텔 코어i7-11세대 i7-11800H (2.3GHz) 옥타(8)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/300nit/주사율:240Hz/,외장그래픽 /RTX3080/TGP:140W/VRAM:8GB/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.38,1799000
181,MSI,GF시리즈 Sword GF66 B12VGK,70.00,https://img.danawa.com/prod_img/500000/277/853/img/18853277_1.jpg?shrink=130:130&_v=20230127111301,인텔 코어i5-12세대 i5-12500H (2.5GHz) 12코어(4P+8E),8,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,16.1,40.9cm(16.1인치)/1920x1080(FHD)/300nit/주사율:144Hz/,외장그래픽 /RTX3060/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.46,1169000
182,MSI,GF시리즈 Thin GF63 12VE-i7 32GB램,999999.00,https://img.danawa.com/new/noData/img/noImg_130.gif,,999999,,,,,999999,,999999.00,814840
183,MSI,Stealth 17M A12UE WIN11 32GB램,53.50,https://img.danawa.com/prod_img/500000/671/425/img/19425671_1.jpg?shrink=130:130&_v=20230420090441,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4070/TGP:105W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.25,1868510
184,에이서,스위프트 X SFX14-41G R7 W11,52.40,https://img.danawa.com/prod_img/500000/750/427/img/19427750_1.jpg?shrink=130:130&_v=20230525092035,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,1279880
185,Razer,Blade 14 R9 Zen4 R3070Ti QHD Mercury,65.00,https://img.danawa.com/prod_img/500000/385/413/img/17413385_1.jpg?shrink=130:130&_v=20230216093753,인텔 코어i7-12세대 i7-1280P (1.8GHz)  14코어(6P+8E),32,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3060/TGP:75W/VRAM:6GB/,512,M.2(NVMe)/512GB/,2.20,1389570
186,MSI,크리에이터 Z16 HX Studio B13VFTO-i9,59.00,https://img.danawa.com/prod_img/500000/065/098/img/19098065_1.jpg?shrink=130:130&_v=20230302091209,AMD 라이젠7-4세대 5800U (1.9GHz) 옥타(8)코어,16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,14,35.56cm(14인치)/1920x1080(FHD)/300nit/,외장그래픽 /RTX3050 Ti/TGP:40W/VRAM:4GB/,512,M.2(NVMe)/512GB/,1.39,1170000
187,레노버,아이디어패드 Slim5-15ITL Premiere Plus i5 WIN10,61.60,https://img.danawa.com/prod_img/500000/167/561/img/18561167_1.jpg?shrink=130:130&_v=20230417144620,AMD 라이젠9-5세대 6900HX (3.3GHz) 옥타(8)코어,16,DDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,14,35.56cm(14인치)/2560x1440(QHD)/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:100W/VRAM:8GB/,1000,M.2(NVMe)/1TB/,1.78,2690000
