id,제조사,이름,배터리,이미지,cpu,램 용량,램 상세,화면크기,화면상세,그래픽,저장용량,저장용량 상세,무게,가격
442,MSI,GF시리즈 Sword GF76 B13VEK WIN11 64GB램,53.50,https://img.danawa.com/prod_img/500000/173/398/img/16398173_1.jpg?shrink=130:130&_v=20220215110314,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.25,1949000
443,MSI,GF시리즈 Sword GF66 A12UC 화이트 WIN11 16GB램,53.50,https://img.danawa.com/prod_img/500000/810/819/img/14819810_1.jpg?shrink=130:130&_v=20211014111943,인텔 코어i7-11세대 i7-11800H (2.3GHz) 옥타(8)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3060/TGP:85W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.25,1170000
444,MSI,Stealth 17 Studio A13VF-i9 4K 32GB램,80.00,https://img.danawa.com/prod_img/500000/468/345/img/20345468_1.jpg?shrink=130:130&_v=20230530102952,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,250,M.2(NVMe)/250GB/저장 슬롯:2개/,1.20,1712940
445,에이서,프레데터 트리톤500se PT516-52s-7822,53.50,https://img.danawa.com/prod_img/500000/732/424/img/19424732_1.jpg?shrink=130:130&_v=20230320104732,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),64,DDR5/램 용량:64GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1520600
446,한성컴퓨터,X76K BossMonster LV.65,53.50,https://img.danawa.com/prod_img/500000/351/109/img/19109351_1.jpg?shrink=130:130&_v=20230406091014,인텔 코어i7-13세대 i7-13620H (2.4GHz) 10코어(6P+4E),64,DDR5/램 용량:64GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.60,1922220
447,한성컴퓨터,Bossmonster GTX63 T9X7Q16W 32GB램,53.50,https://img.danawa.com/prod_img/500000/296/491/img/16491296_1.jpg?shrink=130:130&_v=20220623094224,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.25,1316800
448,MSI,Stealth 17 Studio A13VF-i9 4K WIN11 64GB램,99.90,https://img.danawa.com/prod_img/500000/832/999/img/19999832_1.jpg?shrink=130:130&_v=20230502164119,인텔 코어i9-13세대 i9-13900H (2.6GHz)  14코어(6P+8E),32,DDR5/램 용량:32GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/3840x2160(4K UHD)/500nit/주사율:120Hz/,외장그래픽 /RTX4060/TGP:105W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,2790000
449,MSI,크리에이터 M16 B12VE WIN11 32GB램,99.98,https://img.danawa.com/prod_img/500000/962/646/img/17646962_1.jpg?shrink=130:130&_v=20230126091736,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,16,40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX3070 Ti/TGP:115W/VRAM:8GB/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.40,2099000
450,MSI,GF시리즈 Sword GF66 B13VFK WIN11 64GB램,9999.00,https://img.danawa.com/prod_img/500000/852/169/img/19169852_1.jpg?shrink=130:130&_v=20230228102830,인텔 코어i7-6세대 i7-6700HQ (2.6GHz) 쿼드(4)코어,8,램 용량:8GB/DDR3L/ 외장그래픽 /GTX960M/VRAM:2GB GDDR5/HDD:1TB/ 무선랜:802.11ac(Wi-Fi 5)/ 유선랜:기가비트/HDMI/mini DP/D-SUB/웹캠/멀티리더기/키보드 라이트/숫자 키패드/,17.3,43.94cm(17.3인치)/1920x1080(FHD)/,,999999,,2.90,956380
451,MSI,GF시리즈 Sword GF76 A11SC 비전 블랙 WIN11 16GB램,73.00,https://img.danawa.com/prod_img/500000/834/264/img/20264834_1.jpg?shrink=130:130&_v=20230522154340,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:165Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.50,2247000
452,MSI,Stealth 15M B12UE WIN11,99.90,https://img.danawa.com/prod_img/500000/877/999/img/19999877_1.jpg?shrink=130:130&_v=20230502164231,인텔 코어i9-13세대 i9-13900H (2.6GHz)  14코어(6P+8E),64,DDR5/램 용량:64GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/3840x2160(4K UHD)/500nit/주사율:120Hz/,외장그래픽 /RTX4060/TGP:105W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,2850000
453,MSI,Stealth 17 Studio A13VH QHD WIN11,53.50,https://img.danawa.com/prod_img/500000/897/997/img/19997897_1.jpg?shrink=130:130&_v=20230502155125,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,16,40.6cm(16인치)/1920x1200(WUXGA)/350nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.26,1810000
454,레노버,요가 Slim7 Carbon 14ACN6 82L0004YKR WIN11,53.50,https://img.danawa.com/prod_img/500000/859/105/img/19105859_1.jpg?shrink=130:130&_v=20230222130959,인텔 코어i7-13세대 i7-13620H (2.4GHz) 10코어(6P+4E),64,DDR5/램 용량:64GB/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:105W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.25,2014330
455,레노버,씽크패드 T14 Gen3 21CFS00L00,999999.00,https://img.danawa.com/new/noData/img/noImg_130.gif,,999999,,,,,999999,,999999.00,91872
456,MSI,GP시리즈 Vector GP66 12UH-i7 WIN11,53.50,https://img.danawa.com/prod_img/500000/687/500/img/18500687_1.jpg?shrink=130:130&_v=20221214141551,인텔 코어i7-11세대 i7-11800H (2.3GHz) 옥타(8)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /GTX1650/VRAM:4GB/,256,M.2(NVMe)/256GB/,2.60,1039000
457,Razer,Blade 15 Advanced 12Gen R3070Ti FHD,53.80,https://img.danawa.com/prod_img/500000/645/880/img/16880645_1.jpg?shrink=130:130&_v=20221103092241,인텔 코어i7-12세대 i7-1280P (1.8GHz)  14코어(6P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3060/TGP:75W/VRAM:6GB/,512,M.2(NVMe)/512GB/,1.80,1718100
458,MSI,GF시리즈 Sword GF66 A12UC 화이트 16GB램,99.90,https://img.danawa.com/prod_img/500000/034/021/img/19021034_1.jpg?shrink=130:130&_v=20230214135040,인텔 코어i7-13세대 i7-13700H (2.4GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,외장그래픽 /RTX4080/TGP:105W/VRAM:12GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,3765850
459,MSI,GF시리즈 Sword GF66 B12VGK 64GB램,61.00,https://img.danawa.com/prod_img/500000/171/801/img/17801171_1.jpg?shrink=130:130&_v=20220907111806,AMD 라이젠7-4세대 5800U (1.9GHz) 옥타(8)코어,16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,14,35.56cm(14인치)/2880x1800(WQXGA+)/600nit/주사율:90Hz/,외장그래픽 /MX450/VRAM:2GB/,1000,M.2(NVMe)/1TB/저장 슬롯:1개/,1.09,1381980
460,MSI,Pulse 15 B13VGK QHD 64GB램,52.50,https://img.danawa.com/prod_img/500000/395/625/img/17625395_1.jpg?shrink=130:130&_v=20230427092406,AMD 라이젠7 PRO-5세대  6850U (2.7GHz)  옥타(8)코어,16,LPDDR5(온보드)/램 용량:16GB/6400MHz/ 램 교체: 불가능 /,14,35.56cm(14인치)/1920x1200(WUXGA)/400nit/,내장그래픽 / Radeon 680M /,256,M.2(NVMe)/256GB/저장 슬롯:1개/,1.32,1648990
461,MSI,모던시리즈 모던15 B11M-i5 WIN10,65.00,https://img.danawa.com/prod_img/500000/306/423/img/17423306_1.jpg?shrink=130:130&_v=20220708130106,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/300nit/주사율:240Hz/,외장그래픽 /RTX3080/TGP:150W/VRAM:8GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.38,2246590
462,MSI,GF시리즈 Sword GF66 B13VEK,80.00,https://img.danawa.com/prod_img/500000/873/823/img/16823873_1.jpg?shrink=130:130&_v=20230417143253,인텔 코어i7-12세대 i7-12800H (2.4GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/주사율:360Hz/,외장그래픽 /RTX3070 Ti/TGP:100W/VRAM:8GB/,1000,M.2(NVMe)/1TB/저장 슬롯:1개/,2.01,3000000
463,Razer,Book 13 11Gen G2 FHD Mercury,53.50,https://img.danawa.com/prod_img/500000/209/491/img/16491209_1.jpg?shrink=130:130&_v=20220225163352,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.25,1264730
464,한성컴퓨터,Bossmonster GTX73 N9X7Q24W 32GB램,53.50,https://img.danawa.com/prod_img/500000/840/724/img/19724840_1.jpg?shrink=130:130&_v=20230411131255,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),64,DDR5/램 용량:64GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4070/TGP:105W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.25,2110000
465,MSI,GE시리즈 Raider GE68 HX 13VG-i9 4K WIN11 64GB램,90.00,https://img.danawa.com/prod_img/500000/453/424/img/19424453_1.jpg?shrink=130:130&_v=20230320102815,인텔 코어i7-13세대 i7-13700H (2.4GHz)  14코어(6P+8E),64,DDR5/램 용량:64GB/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/,2.30,2535160
466,레노버,V15 Gen3 ABA 82TV0031KR,39.30,https://img.danawa.com/prod_img/500000/063/277/img/19277063_1.jpg?shrink=130:130&_v=20230309091907,인텔 코어i5-11세대 i5-1155G7 (2.5GHz) 쿼드(4)코어,8,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/300nit/,내장그래픽 / Iris Xe /,512,M.2(NVMe)/512GB/,1.70,659370
467,MSI,써밋 E13 Flip Evo A12MT W11 화이트,53.50,https://img.danawa.com/prod_img/500000/759/073/img/19073759_1.jpg?shrink=130:130&_v=20230220130103,인텔 코어i7-13세대 i7-13620H (2.4GHz) 10코어(6P+4E),16,DDR5/램 용량:16GB/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.25,1671720
468,MSI,GP시리즈 Vector GP66 12UH-i7 WIN11 32GB램,55.00,https://img.danawa.com/prod_img/500000/323/238/img/17238323_1.jpg?shrink=130:130&_v=20230417145540,인텔 코어i7-11세대 i7-1165G7 (2.8GHz) 쿼드(4)코어,16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,13.4,34.03cm(13.4인치)/1920x1200(WUXGA)/,내장그래픽 / Iris Xe /,512,SSD/512GB/,1.40,1519050
469,MSI,사이보그 15 A12VF-i5 WIN11,73.00,https://img.danawa.com/prod_img/500000/528/264/img/20264528_1.jpg?shrink=130:130&_v=20230522153354,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,2347000
470,MSI,사이보그 15 A12VF-i5 WIN11 32GB램,99.90,https://img.danawa.com/prod_img/500000/320/250/img/20250320_1.jpg?shrink=130:130&_v=20230519165539,인텔 코어i9-13세대 i9-13950HX (2.2GHz)  24코어(8P+16E),64,DDR5/램 용량:64GB/ 램 교체: 가능 /,16,40.6cm(16인치)/3840x2400(4K UHD)/500nit/주사율:120Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.70,3694190
471,MSI,사이보그 15 A12VE 16GB램,45.00,https://img.danawa.com/prod_img/500000/873/575/img/18575873_1.jpg?shrink=130:130&_v=20230126090332,AMD 라이젠3-4세대 5425U (2.7GHz) 쿼드(4)코어,4,DDR4/램 용량:4GB/3200MHz/ 램 교체: 가능(1슬롯) /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/300nit/,내장그래픽 / Radeon Graphics /,256,M.2(NVMe)/256GB/,1.70,660000
472,MSI,GE시리즈 레이더 GE76 12UGS QHD,70.00,https://img.danawa.com/prod_img/500000/401/505/img/17505401_1.jpg?shrink=130:130&_v=20220721160643,인텔 코어i7-12세대 i7-1280P (1.8GHz)  14코어(6P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,13.4,34.03cm(13.4인치)/1920x1200(WUXGA)/500nit/주사율:120Hz/,내장그래픽 / Iris Xe /,1000,M.2(NVMe)/1TB/,1.35,1719880
473,MSI,크리에이터 Z16 HX Studio B13VFTO-i9 WIN11 32GB램,65.00,https://img.danawa.com/prod_img/500000/198/423/img/17423198_1.jpg?shrink=130:130&_v=20220708125624,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/300nit/주사율:240Hz/,외장그래픽 /RTX3080/TGP:150W/VRAM:8GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.38,2378190
474,레노버,씽크패드 X13 Yoga Gen3 21AW0020KR,53.50,https://img.danawa.com/prod_img/500000/431/521/img/19521431_1.jpg?shrink=130:130&_v=20230327145800,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),8,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1409990
475,MSI,GP시리즈 Vector GP66 12UH-i7 WIN11 64GB램,53.50,https://img.danawa.com/prod_img/500000/281/521/img/19521281_1.jpg?shrink=130:130&_v=20230327145437,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1580000
476,MSI,GF시리즈 Sword GF66 A12UC 화이트 WIN10 32GB램,53.50,https://img.danawa.com/prod_img/500000/474/448/img/19448474_1.jpg?shrink=130:130&_v=20230321105713,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:40W/VRAM:6GB/,512,M.2(NVMe)/512GB/,1.98,1335440
477,MSI,GP시리즈 Vector GP66 12UGS 32GB램,99.90,https://img.danawa.com/prod_img/500000/272/410/img/16410272_1.jpg?shrink=130:130&_v=20220407102823,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.90,2699000
478,MSI,GF시리즈 Thin GF63 12VE-i7 WIN11 64GB램,90.00,https://img.danawa.com/prod_img/500000/118/507/img/19507118_1.jpg?shrink=130:130&_v=20230324144004,인텔 코어i9-13세대 i9-13950HX (2.2GHz)  24코어(8P+16E),32,DDR5/램 용량:32GB/ 램 교체: 가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/400nit/주사율:120Hz/,외장그래픽 /RTX4060/TGP:90W/VRAM:8GB/,1000,M.2(NVMe)/1TB/,2.35,3390000
479,한성컴퓨터,TFG5275TW,52.80,https://img.danawa.com/prod_img/500000/223/869/img/17869223_1.jpg?shrink=130:130&_v=20220920143701,인텔 코어i7-12세대 i7-1255U (1.7GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,13.3,33.78cm(13.3인치)/2560x1600(WQXGA)/400nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:1개/,1.19,1930000
480,MSI,GF시리즈 Sword GF66 A12UC 화이트 WIN11 32GB램,65.00,https://img.danawa.com/prod_img/500000/258/423/img/17423258_1.jpg?shrink=130:130&_v=20220708125824,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),64,DDR4/램 용량:64GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/300nit/주사율:240Hz/,외장그래픽 /RTX3080/TGP:150W/VRAM:8GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.38,2500390
481,MSI,모던시리즈 모던 14 C7M-R7 WIN11,53.50,https://img.danawa.com/prod_img/500000/903/490/img/16490903_1.jpg?shrink=130:130&_v=20220225162338,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.25,1503160
482,MSI,GF시리즈 Sword GF66 A12UE 블랙,65.00,https://img.danawa.com/prod_img/500000/424/366/img/16366424_1.jpg?shrink=130:130&_v=20220929092319,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.38,2208990
483,Razer,Blade 18 13Gen R4060 QHD,52.40,https://img.danawa.com/prod_img/500000/783/427/img/19427783_1.jpg?shrink=130:130&_v=20230320142656,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),64,DDR4/램 용량:64GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,1446560
484,한성컴퓨터,올데이롱 TFX6250H 8GB램,53.35,https://img.danawa.com/prod_img/500000/463/038/img/17038463_1.jpg?shrink=130:130&_v=20220630103023,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/300nit/주사율:144Hz/,외장그래픽 /RTX3050 Ti/TGP:75W/VRAM:4GB/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.00,1358000
485,MSI,GP시리즈 GP66 Leopard 11UG,53.50,https://img.danawa.com/prod_img/500000/305/491/img/16491305_1.jpg?shrink=130:130&_v=20220225163725,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.25,1350810
486,레노버,요가 Slim7 ProX 14IAH7 82TK0051KR,39.30,https://img.danawa.com/prod_img/500000/959/503/img/19503959_1.jpg?shrink=130:130&_v=20230324123811,AMD 라이젠7(Zen3)  7730U (2.0Hz)  옥타(8)코어,8,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,14,35.5cm(14인치)/1920x1080(FHD)/300nit/,내장그래픽 / Radeon Graphics /,512,M.2(NVMe)/512GB/,1.40,828990
487,한성컴퓨터,TFG7275W,53.50,https://img.danawa.com/prod_img/500000/419/257/img/16257419_1.jpg?shrink=130:130&_v=20220218143959,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.25,1489150
488,레노버,요가 Slim7 Pro 16ARH7 82UW000EKR,91.70,https://img.danawa.com/prod_img/500000/153/262/img/19262153_1.jpg?shrink=130:130&_v=20230417142530,인텔 코어i9-13세대 i9-13950HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/5600MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,3.20,4265780
489,MSI,Stealth 17 Studio A13VG-i9 QHD WIN11 64GB램,82.04,https://img.danawa.com/prod_img/500000/685/979/img/18979685_1.jpg?shrink=130:130&_v=20230209142040,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/300nit/주사율:90Hz/,내장그래픽 / UHD Graphics /,500,M.2(NVMe)/500GB/저장 슬롯:2개/,1.46,959000
490,MSI,GF시리즈 Sword GF66 B13VEK WIN11 64GB램,65.00,https://img.danawa.com/prod_img/500000/427/158/img/14158427_1.jpg?shrink=130:130&_v=20220819093716,인텔 코어i7-11세대 i7-11800H (2.3GHz) 옥타(8)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/300nit/주사율:240Hz/,외장그래픽 /RTX3070/TGP:140W/VRAM:8GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.38,2127790
491,한성컴퓨터,올데이롱 TFX4270H 8GB램,70.00,https://img.danawa.com/prod_img/500000/846/693/img/17693846_1.jpg?shrink=130:130&_v=20220825095641,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,LPDDR5(온보드)/램 용량:32GB/5200MHz/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/3072x1920/400nit/주사율:120Hz/,외장그래픽 /RTX3050/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.45,2990000
492,MSI,GF시리즈 GF63 Thin 11UD-i5 WIN11,53.35,https://img.danawa.com/prod_img/500000/631/038/img/17038631_1.jpg?shrink=130:130&_v=20230413091802,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/1920x1080(FHD)/300nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:75W/VRAM:4GB/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.60,1357990
493,한성컴퓨터,올데이롱 TFX6275H,75.00,https://img.danawa.com/prod_img/500000/492/873/img/17873492_1.jpg?shrink=130:130&_v=20220920172031,AMD 라이젠5-5세대 6600HS (3.3GHz) 헥사(6)코어,16,LPDDR5(온보드)/램 용량:16GB/6400MHz/ 램 교체: 불가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:165Hz/,외장그래픽 /RTX3050/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,2.08,1702480
494,MSI,GF시리즈 Sword GF66 A12UC 화이트 32GB램,99.90,https://img.danawa.com/prod_img/500000/162/790/img/19790162_1.jpg?shrink=130:130&_v=20230504091601,인텔 코어i9-13세대 i9-13900H (2.6GHz)  14코어(6P+8E),64,DDR5/램 용량:64GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:105W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,3420000
